,id,station,date,prcp,tobs
398,18840,USC00516128,2015-07-29,0.12,77.0
399,1972,USC00519397,2015-07-28,0.0,81.0
400,6997,USC00514830,2015-07-28,0.0,82.0
401,11489,USC00519523,2015-07-28,0.0,80.0
402,14217,USC00519281,2015-07-28,0.14,74.0
403,16893,USC00511918,2015-07-28,0.0,74.0
404,18839,USC00516128,2015-07-28,0.42,76.0
405,1971,USC00519397,2015-07-27,0.0,81.0
406,6996,USC00514830,2015-07-27,0.0,81.0
407,11488,USC00519523,2015-07-27,0.0,80.0
408,14216,USC00519281,2015-07-27,0.0,75.0
409,16892,USC00511918,2015-07-27,,72.0
410,18838,USC00516128,2015-07-27,0.09,74.0
411,1970,USC00519397,2015-07-26,0.0,80.0
412,6995,USC00514830,2015-07-26,0.0,82.0
413,11487,USC00519523,2015-07-26,0.03,77.0
414,14215,USC00519281,2015-07-26,0.0,72.0
415,18837,USC00516128,2015-07-26,0.0,73.0
416,1969,USC00519397,2015-07-25,0.0,81.0
417,6994,USC00514830,2015-07-25,0.2,81.0
418,11486,USC00519523,2015-07-25,0.0,79.0
419,14214,USC00519281,2015-07-25,0.1,78.0
420,18836,USC00516128,2015-07-25,0.1,72.0
421,1968,USC00519397,2015-07-24,0.0,81.0
422,6993,USC00514830,2015-07-24,0.03,80.0
423,11485,USC00519523,2015-07-24,0.18,78.0
424,14213,USC00519281,2015-07-24,0.03,75.0
425,16891,USC00511918,2015-07-24,0.0,77.0
426,18835,USC00516128,2015-07-24,0.25,75.0
427,1967,USC00519397,2015-07-23,0.0,81.0
428,6992,USC00514830,2015-07-23,0.0,81.0
429,11484,USC00519523,2015-07-23,,84.0
430,14212,USC00519281,2015-07-23,0.02,74.0
431,16890,USC00511918,2015-07-23,0.0,71.0
432,18834,USC00516128,2015-07-23,0.07,75.0
433,1966,USC00519397,2015-07-22,0.01,79.0
434,6991,USC00514830,2015-07-22,0.0,80.0
435,14211,USC00519281,2015-07-22,0.31,76.0
436,16889,USC00511918,2015-07-22,0.0,77.0
437,18833,USC00516128,2015-07-22,2.44,72.0
438,1965,USC00519397,2015-07-21,0.0,81.0
439,6990,USC00514830,2015-07-21,0.0,81.0
440,11483,USC00519523,2015-07-21,0.0,83.0
441,14210,USC00519281,2015-07-21,0.26,73.0
442,16888,USC00511918,2015-07-21,,72.0
443,18832,USC00516128,2015-07-21,,74.0
444,1964,USC00519397,2015-07-20,0.0,79.0
445,4707,USC00513117,2015-07-20,0.03,77.0
446,6989,USC00514830,2015-07-20,,80.0
447,11482,USC00519523,2015-07-20,0.0,80.0
448,14209,USC00519281,2015-07-20,0.01,71.0
449,1963,USC00519397,2015-07-19,0.05,78.0
450,4706,USC00513117,2015-07-19,0.03,77.0
451,11481,USC00519523,2015-07-19,0.11,82.0
452,14208,USC00519281,2015-07-19,0.05,72.0
453,18831,USC00516128,2015-07-19,0.74,72.0
454,1962,USC00519397,2015-07-18,0.0,82.0
455,4705,USC00513117,2015-07-18,0.07,78.0
456,6988,USC00514830,2015-07-18,0.01,81.0
457,11480,USC00519523,2015-07-18,0.0,80.0
458,14207,USC00519281,2015-07-18,0.27,83.0
459,18830,USC00516128,2015-07-18,0.44,75.0
460,1961,USC00519397,2015-07-17,0.0,83.0
461,4704,USC00513117,2015-07-17,,78.0
462,6987,USC00514830,2015-07-17,1.24,80.0
463,11479,USC00519523,2015-07-17,0.13,79.0
464,14206,USC00519281,2015-07-17,0.69,75.0
465,16887,USC00511918,2015-07-17,0.0,75.0
466,18829,USC00516128,2015-07-17,0.47,76.0
467,1960,USC00519397,2015-07-16,0.0,83.0
468,6986,USC00514830,2015-07-16,0.21,76.0
469,8602,USC00517948,2015-07-16,0.05,80.0
470,11478,USC00519523,2015-07-16,0.0,78.0
471,14205,USC00519281,2015-07-16,0.41,74.0
